Web Search interest: big data hadoop
Worldwide 2004 - present

Interest over time
Week,big data,hadoop
2004-01-04 - 2004-01-10,7,0
2004-01-11 - 2004-01-17,9,0
2004-01-18 - 2004-01-24,9,0
2004-01-25 - 2004-01-31,3,0
2004-02-01 - 2004-02-07,6,0
2004-02-08 - 2004-02-14,6,0
2004-02-15 - 2004-02-21,5,0
2004-02-22 - 2004-02-28,4,0
2004-02-29 - 2004-03-06,6,0
2004-03-07 - 2004-03-13,7,0
2004-03-14 - 2004-03-20,7,0
2004-03-21 - 2004-03-27,4,0
2004-03-28 - 2004-04-03,4,0
2004-04-04 - 2004-04-10,5,0
2004-04-11 - 2004-04-17,8,0
2004-04-18 - 2004-04-24,7,0
2004-04-25 - 2004-05-01,5,0
2004-05-02 - 2004-05-08,4,0
2004-05-09 - 2004-05-15,7,0
2004-05-16 - 2004-05-22,5,0
2004-05-23 - 2004-05-29,6,0
2004-05-30 - 2004-06-05,6,0
2004-06-06 - 2004-06-12,5,0
2004-06-13 - 2004-06-19,7,0
2004-06-20 - 2004-06-26,5,0
2004-06-27 - 2004-07-03,6,0
2004-07-04 - 2004-07-10,5,0
2004-07-11 - 2004-07-17,6,0
2004-07-18 - 2004-07-24,8,0
2004-07-25 - 2004-07-31,4,0
2004-08-01 - 2004-08-07,6,0
2004-08-08 - 2004-08-14,5,0
2004-08-15 - 2004-08-21,6,0
2004-08-22 - 2004-08-28,8,0
2004-08-29 - 2004-09-04,7,0
2004-09-05 - 2004-09-11,4,0
2004-09-12 - 2004-09-18,4,0
2004-09-19 - 2004-09-25,7,0
2004-09-26 - 2004-10-02,6,0
2004-10-03 - 2004-10-09,7,0
2004-10-10 - 2004-10-16,4,0
2004-10-17 - 2004-10-23,6,0
2004-10-24 - 2004-10-30,4,0
2004-10-31 - 2004-11-06,6,0
2004-11-07 - 2004-11-13,6,0
2004-11-14 - 2004-11-20,5,0
2004-11-21 - 2004-11-27,6,0
2004-11-28 - 2004-12-04,8,0
2004-12-05 - 2004-12-11,5,0
2004-12-12 - 2004-12-18,2,0
2004-12-19 - 2004-12-25,7,0
2004-12-26 - 2005-01-01,2,0
2005-01-02 - 2005-01-08,7,0
2005-01-09 - 2005-01-15,7,0
2005-01-16 - 2005-01-22,6,0
2005-01-23 - 2005-01-29,6,0
2005-01-30 - 2005-02-05,5,0
2005-02-06 - 2005-02-12,5,0
2005-02-13 - 2005-02-19,4,0
2005-02-20 - 2005-02-26,3,0
2005-02-27 - 2005-03-05,6,0
2005-03-06 - 2005-03-12,5,0
2005-03-13 - 2005-03-19,4,0
2005-03-20 - 2005-03-26,6,0
2005-03-27 - 2005-04-02,4,0
2005-04-03 - 2005-04-09,5,0
2005-04-10 - 2005-04-16,4,0
2005-04-17 - 2005-04-23,5,0
2005-04-24 - 2005-04-30,5,0
2005-05-01 - 2005-05-07,7,0
2005-05-08 - 2005-05-14,8,0
2005-05-15 - 2005-05-21,3,0
2005-05-22 - 2005-05-28,6,0
2005-05-29 - 2005-06-04,6,0
2005-06-05 - 2005-06-11,5,0
2005-06-12 - 2005-06-18,7,0
2005-06-19 - 2005-06-25,4,0
2005-06-26 - 2005-07-02,4,0
2005-07-03 - 2005-07-09,7,0
2005-07-10 - 2005-07-16,5,0
2005-07-17 - 2005-07-23,5,0
2005-07-24 - 2005-07-30,4,0
2005-07-31 - 2005-08-06,5,0
2005-08-07 - 2005-08-13,7,0
2005-08-14 - 2005-08-20,4,0
2005-08-21 - 2005-08-27,5,0
2005-08-28 - 2005-09-03,5,0
2005-09-04 - 2005-09-10,4,0
2005-09-11 - 2005-09-17,4,0
2005-09-18 - 2005-09-24,5,0
2005-09-25 - 2005-10-01,5,0
2005-10-02 - 2005-10-08,4,0
2005-10-09 - 2005-10-15,3,0
2005-10-16 - 2005-10-22,5,0
2005-10-23 - 2005-10-29,5,0
2005-10-30 - 2005-11-05,6,0
2005-11-06 - 2005-11-12,5,0
2005-11-13 - 2005-11-19,5,0
2005-11-20 - 2005-11-26,3,0
2005-11-27 - 2005-12-03,4,0
2005-12-04 - 2005-12-10,5,0
2005-12-11 - 2005-12-17,4,0
2005-12-18 - 2005-12-24,3,0
2005-12-25 - 2005-12-31,5,0
2006-01-01 - 2006-01-07,5,0
2006-01-08 - 2006-01-14,6,0
2006-01-15 - 2006-01-21,5,1
2006-01-22 - 2006-01-28,5,1
2006-01-29 - 2006-02-04,5,1
2006-02-05 - 2006-02-11,4,1
2006-02-12 - 2006-02-18,6,1
2006-02-19 - 2006-02-25,5,1
2006-02-26 - 2006-03-04,4,1
2006-03-05 - 2006-03-11,5,1
2006-03-12 - 2006-03-18,4,1
2006-03-19 - 2006-03-25,4,1
2006-03-26 - 2006-04-01,6,2
2006-04-02 - 2006-04-08,6,1
2006-04-09 - 2006-04-15,4,1
2006-04-16 - 2006-04-22,4,1
2006-04-23 - 2006-04-29,6,1
2006-04-30 - 2006-05-06,5,0
2006-05-07 - 2006-05-13,4,0
2006-05-14 - 2006-05-20,3,1
2006-05-21 - 2006-05-27,5,1
2006-05-28 - 2006-06-03,5,0
2006-06-04 - 2006-06-10,5,1
2006-06-11 - 2006-06-17,4,1
2006-06-18 - 2006-06-24,5,0
2006-06-25 - 2006-07-01,4,1
2006-07-02 - 2006-07-08,4,1
2006-07-09 - 2006-07-15,4,2
2006-07-16 - 2006-07-22,4,1
2006-07-23 - 2006-07-29,3,1
2006-07-30 - 2006-08-05,4,2
2006-08-06 - 2006-08-12,5,2
2006-08-13 - 2006-08-19,3,1
