Web Search interest: data science data scientist analytics google analytics machine learning
Worldwide 2004 - present

Interest over time
Week,data science,data scientist,analytics,google analytics,machine learning
2004-01-04 - 2004-01-10,2,0,5,0,3
2004-01-11 - 2004-01-17,2,0,6,0,3
2004-01-18 - 2004-01-24,2,0,6,0,4
2004-01-25 - 2004-01-31,3,0,7,0,4
2004-02-01 - 2004-02-07,2,0,8,0,4
2004-02-08 - 2004-02-14,1,0,6,0,4
2004-02-15 - 2004-02-21,2,0,6,0,5
2004-02-22 - 2004-02-28,3,0,7,0,4
2004-02-29 - 2004-03-06,2,0,6,0,4
2004-03-07 - 2004-03-13,1,0,6,0,3
2004-03-14 - 2004-03-20,2,0,6,0,4
2004-03-21 - 2004-03-27,2,0,6,0,3
2004-03-28 - 2004-04-03,2,0,7,0,4
2004-04-04 - 2004-04-10,1,0,6,0,4
2004-04-11 - 2004-04-17,2,0,6,0,4
2004-04-18 - 2004-04-24,2,0,6,0,4
2004-04-25 - 2004-05-01,2,0,7,0,3
2004-05-02 - 2004-05-08,1,0,7,0,5
2004-05-09 - 2004-05-15,2,0,6,0,4
2004-05-16 - 2004-05-22,2,0,6,0,3
2004-05-23 - 2004-05-29,1,0,7,0,3
2004-05-30 - 2004-06-05,1,0,5,0,4
2004-06-06 - 2004-06-12,1,0,6,0,3
2004-06-13 - 2004-06-19,2,0,7,0,4
2004-06-20 - 2004-06-26,2,0,7,0,3
2004-06-27 - 2004-07-03,1,0,6,0,3
2004-07-04 - 2004-07-10,1,0,6,0,3
2004-07-11 - 2004-07-17,2,0,6,0,4
2004-07-18 - 2004-07-24,1,0,6,0,4
2004-07-25 - 2004-07-31,2,0,8,0,3
2004-08-01 - 2004-08-07,1,0,7,0,3
2004-08-08 - 2004-08-14,2,0,7,0,3
2004-08-15 - 2004-08-21,2,0,7,0,3
2004-08-22 - 2004-08-28,1,0,7,0,3
2004-08-29 - 2004-09-04,1,0,6,0,3
2004-09-05 - 2004-09-11,2,0,5,0,3
2004-09-12 - 2004-09-18,2,0,6,0,4
2004-09-19 - 2004-09-25,1,0,5,0,4
2004-09-26 - 2004-10-02,2,0,6,0,3
2004-10-03 - 2004-10-09,2,0,7,0,4
2004-10-10 - 2004-10-16,3,0,6,0,4
2004-10-17 - 2004-10-23,1,0,7,0,4
2004-10-24 - 2004-10-30,2,0,6,0,3
2004-10-31 - 2004-11-06,2,0,6,0,3
2004-11-07 - 2004-11-13,1,0,5,0,3
2004-11-14 - 2004-11-20,2,0,5,0,3
2004-11-21 - 2004-11-27,2,0,5,0,3
2004-11-28 - 2004-12-04,2,0,5,0,4
2004-12-05 - 2004-12-11,2,0,6,0,4
2004-12-12 - 2004-12-18,2,0,6,0,4
2004-12-19 - 2004-12-25,1,0,4,0,3
2004-12-26 - 2005-01-01,1,0,4,0,2
2005-01-02 - 2005-01-08,2,0,6,0,3
2005-01-09 - 2005-01-15,2,0,5,0,3
2005-01-16 - 2005-01-22,1,0,5,0,3
2005-01-23 - 2005-01-29,2,0,6,0,3
2005-01-30 - 2005-02-05,2,0,6,0,3
2005-02-06 - 2005-02-12,2,0,7,0,3
2005-02-13 - 2005-02-19,1,0,6,0,3
2005-02-20 - 2005-02-26,2,0,7,0,3
2005-02-27 - 2005-03-05,1,0,7,0,3
2005-03-06 - 2005-03-12,1,0,6,0,3
2005-03-13 - 2005-03-19,2,0,6,0,3
2005-03-20 - 2005-03-26,1,0,6,0,3
2005-03-27 - 2005-04-02,1,0,6,0,4
2005-04-03 - 2005-04-09,1,0,5,0,3
2005-04-10 - 2005-04-16,2,0,7,0,3
2005-04-17 - 2005-04-23,1,0,7,0,3
2005-04-24 - 2005-04-30,2,0,7,0,3
2005-05-01 - 2005-05-07,1,0,6,0,3
2005-05-08 - 2005-05-14,1,0,7,0,4
2005-05-15 - 2005-05-21,1,0,6,0,3
2005-05-22 - 2005-05-28,1,0,6,0,3
2005-05-29 - 2005-06-04,1,0,6,0,3
2005-06-05 - 2005-06-11,1,0,6,0,3
2005-06-12 - 2005-06-18,1,0,7,0,3
2005-06-19 - 2005-06-25,1,0,7,0,3
2005-06-26 - 2005-07-02,2,0,6,0,3
2005-07-03 - 2005-07-09,1,0,6,0,2
2005-07-10 - 2005-07-16,1,0,6,0,3
2005-07-17 - 2005-07-23,1,0,7,0,2
2005-07-24 - 2005-07-30,1,0,6,0,3
2005-07-31 - 2005-08-06,1,0,7,0,2
2005-08-07 - 2005-08-13,2,0,7,0,2
2005-08-14 - 2005-08-20,1,0,6,0,2
2005-08-21 - 2005-08-27,1,0,7,0,2
2005-08-28 - 2005-09-03,2,0,6,0,2
2005-09-04 - 2005-09-10,1,0,6,0,2
2005-09-11 - 2005-09-17,2,0,6,0,3
2005-09-18 - 2005-09-24,1,0,6,0,2
2005-09-25 - 2005-10-01,2,0,6,0,3
2005-10-02 - 2005-10-08,1,0,7,0,3
2005-10-09 - 2005-10-15,2,0,6,0,3
2005-10-16 - 2005-10-22,1,0,6,0,3
2005-10-23 - 2005-10-29,1,0,5,0,3
2005-10-30 - 2005-11-05,1,0,6,0,3
2005-11-06 - 2005-11-12,2,0,5,0,3
2005-11-13 - 2005-11-19,2,0,60,48,3
2005-11-20 - 2005-11-26,1,0,31,20,2
2005-11-27 - 2005-12-03,2,0,20,12,3
2005-12-04 - 2005-12-10,1,0,17,9,2
2005-12-11 - 2005-12-17,1,0,17,9,2
2005-12-18 - 2005-12-24,1,0,16,8,2
2005-12-25 - 2005-12-31,1,0,11,6,2
2006-01-01 - 2006-01-07,1,0,16,7,3
2006-01-08 - 2006-01-14,1,0,16,7,2
2006-01-15 - 2006-01-21,1,0,18,8,3
2006-01-22 - 2006-01-28,2,0,16,7,3
2006-01-29 - 2006-02-04,1,0,16,8,3
2006-02-05 - 2006-02-11,1,0,15,7,2
2006-02-12 - 2006-02-18,1,0,14,6,2
2006-02-19 - 2006-02-25,1,0,15,7,2
2006-02-26 - 2006-03-04,2,0,15,7,3
2006-03-05 - 2006-03-11,1,0,16,7,3
2006-03-12 - 2006-03-18,1,0,15,7,2
2006-03-19 - 2006-03-25,1,0,16,7,2
2006-03-26 - 2006-04-01,1,0,16,7,2
2006-04-02 - 2006-04-08,1,0,19,11,3
2006-04-09 - 2006-04-15,1,0,18,9,3
2006-04-16 - 2006-04-22,2,0,16,8,2
2006-04-23 - 2006-04-29,1,0,16,7,2
2006-04-30 - 2006-05-06,1,0,16,7,3
2006-05-07 - 2006-05-13,1,0,18,9,2
2006-05-14 - 2006-05-20,1,0,17,9,2
2006-05-21 - 2006-05-27,1,0,19,9,2
2006-05-28 - 2006-06-03,1,0,19,10,2
2006-06-04 - 2006-06-10,1,0,25,14,2
2006-06-11 - 2006-06-17,1,0,21,11,3
2006-06-18 - 2006-06-24,1,0,21,10,2
2006-06-25 - 2006-07-01,1,0,21,11,2
2006-07-02 - 2006-07-08,1,0,19,10,2
2006-07-09 - 2006-07-15,1,0,20,9,1
2006-07-16 - 2006-07-22,1,0,21,10,2
2006-07-23 - 2006-07-29,1,0,20,9,2
2006-07-30 - 2006-08-05,1,0,20,9,2
2006-08-06 - 2006-08-12,1,0,21,10,2
2006-08-13 - 2006-08-19,1,0,24,12,2
2006-08-20 - 2006-08-26,1,0,23,11,2
2006-08-27 - 2006-09-02,1,0,22,12,2
2006-09-03 - 2006-09-09,1,0,22,11,2
2006-09-10 - 2006-09-16,1,0,23,11,2
2006-09-17 - 2006-09-23,1,0,24,12,2
2006-09-24 - 2006-09-30,1,0,23,12,2
2006-10-01 - 2006-10-07,1,0,23,12,3
2006-10-08 - 2006-10-14,1,0,22,12,2
